都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考,最終確認日
130001,13,東京都,,公衆電話（港区海岸1-4-17）,,,東京都港区海岸1-4-17,,35.65525,139.759943,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,14,東京都,,公衆電話（港区元麻布1-2-2）,,,東京都港区元麻布1-2-2,,35.654964,139.73223,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,15,東京都,,公衆電話（港区高輪4-8-33）,,,東京都港区高輪4-8-33,,35.62934,139.733255,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,16,東京都,,公衆電話（港区芝2-14-4）,,,東京都港区芝2-14-4,,35.651067,139.753536,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,17,東京都,,公衆電話（港区芝3-15）,,,東京都港区芝3-15,,35.653127,139.745241,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,18,東京都,,公衆電話（港区芝3-28-11）,,,東京都港区芝3-28-11,,35.651299,139.745085,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,19,東京都,,公衆電話（港区芝3-6-8）,,,東京都港区芝3-6-8,,35.652085,139.749412,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,20,東京都,,公衆電話（港区芝大門1-13-7）,,,東京都港区芝大門1-13-7,,35.657026,139.753447,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,21,東京都,,公衆電話（港区芝大門2-12-4）,,,東京都港区芝大門2-12-4,,35.654453,139.754179,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,22,東京都,,公衆電話（港区芝大門2-9-11）,,,東京都港区芝大門2-9-11,,35.653921,139.752696,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,23,東京都,,公衆電話（港区新橋1-12-9）,,,東京都港区新橋1-12-9,,35.667772,139.75867,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,24,東京都,,公衆電話（港区新橋1-13-6）,,,東京都港区新橋1-13-6,,35.667635,139.758376,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,25,東京都,,公衆電話（港区新橋1-9-6）,,,東京都港区新橋1-9-6,,35.667047,139.759924,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,26,東京都,,公衆電話（港区新橋2-1）,,,東京都港区新橋2-1,,35.668335,139.755202,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,27,東京都,,公衆電話（港区新橋2-15-7）,,,東京都港区新橋2-15-7,,35.666415,139.756796,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
